,Word,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),e,t,a,o,i,th,he,in,er,an,Frequency
0,slump,1.0,3.0,23.0,39.0,24.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,1.37179e-06
1,crank,1.0,5.0,23.0,31.0,24.0,14.000000000000002,2.0,0,0,1,0,0,0,0,0,0,1,1.583252e-06
2,gorge,1.0,3.0,13.0,27.0,30.0,22.0,4.0,1,0,0,1,0,0,0,0,0,0,2.676004e-06
3,query,1.0,4.0,16.0,30.0,30.0,17.0,2.0,1,0,0,0,0,0,0,0,1,0,1.0179494e-05
4,drink,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,0,0,0,0,1,0,0,1,0,0,5.647384e-05
5,favor,1.0,4.0,15.0,26.0,28.999999999999996,21.0,4.0,0,0,1,1,0,0,0,0,0,0,2.74147e-05
6,abbey,1.0101010101010102,2.0202020202020203,13.131313131313133,29.292929292929294,31.313131313131315,20.2020202020202,3.0303030303030303,1,0,1,0,0,0,0,0,0,0,6.393404000000001e-06
7,tangy,1.0,4.0,21.0,30.0,24.0,15.0,5.0,0,1,1,0,0,0,0,0,0,1,5.526956e-07
8,panic,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,0,0,1,0,1,0,0,0,0,1,1.863406e-05
9,solar,1.0,9.0,32.0,32.0,18.0,7.000000000000001,1.0,0,0,1,1,0,0,0,0,0,0,2.172242e-05
10,shire,0.9900990099009901,7.920792079207921,31.683168316831683,31.683168316831683,17.82178217821782,7.920792079207921,1.9801980198019802,1,0,0,0,1,0,0,0,0,0,8.517304000000002e-07
11,proxy,0.9900990099009901,1.9801980198019802,10.891089108910892,23.762376237623762,30.693069306930692,25.742574257425744,5.9405940594059405,0,0,0,1,0,0,0,0,0,0,4.990537999999999e-06
12,point,1.0101010101010102,16.161616161616163,37.37373737373738,28.28282828282828,12.121212121212121,4.040404040404041,1.0101010101010102,0,1,0,1,1,0,0,1,0,0,0.000306212
13,robot,0.9900990099009901,7.920792079207921,28.71287128712871,33.663366336633665,19.801980198019802,7.920792079207921,0.9900990099009901,0,1,0,2,0,0,0,0,0,0,1.0292994e-05
14,prick,1.0101010101010102,8.080808080808081,30.303030303030305,33.33333333333333,19.19191919191919,7.07070707070707,1.0101010101010102,0,0,0,0,1,0,0,0,0,0,2.696754e-06
15,wince,0.9900990099009901,2.9702970297029703,16.831683168316832,32.67326732673268,28.71287128712871,14.85148514851485,2.9702970297029703,1,0,0,0,1,0,0,1,0,0,1.387536e-06
16,crimp,1.0,5.0,28.000000000000004,38.0,20.0,7.000000000000001,1.0,0,0,0,0,1,0,0,0,0,0,3.782386e-07
17,knoll,1.0,1.0,11.0,28.999999999999996,33.0,21.0,4.0,0,0,0,1,0,0,0,0,0,0,1.0855366e-06
18,sugar,1.0101010101010102,6.0606060606060606,25.252525252525253,34.34343434343434,23.232323232323232,9.090909090909092,1.0101010101010102,0,0,1,0,0,0,0,0,0,0,3.672678e-05
19,whack,1.0,4.0,22.0,37.0,24.0,10.0,2.0,0,0,1,0,0,0,0,0,0,0,1.0250464e-06
20,mount,1.0101010101010102,9.090909090909092,29.292929292929294,33.33333333333333,19.19191919191919,7.07070707070707,1.0101010101010102,0,1,0,1,0,0,0,0,0,0,1.963392e-05
21,perky,1.0,4.0,17.0,30.0,27.0,17.0,4.0,1,0,0,0,0,0,0,0,1,0,5.680768e-07
22,could,0.9900990099009901,6.9306930693069315,28.71287128712871,34.65346534653465,19.801980198019802,7.920792079207921,0.9900990099009901,0,0,0,1,0,0,0,0,0,0,0.001276894
23,wrung,0.0,2.0,18.0,39.0,27.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,1.514482e-06
24,light,1.0101010101010102,10.1010101010101,25.252525252525253,27.27272727272727,19.19191919191919,12.121212121212121,5.05050505050505,0,1,0,0,1,0,0,0,0,0,0.0002395025999999
25,those,1.0,13.0,34.0,30.0,15.0,6.0,1.0,1,1,0,1,0,1,0,0,0,0,0.0006227976
26,moist,2.9702970297029703,12.871287128712872,31.683168316831683,28.71287128712871,15.841584158415841,6.9306930693069315,0.9900990099009901,0,1,0,1,1,0,0,0,0,0,5.0797100000000005e-06
27,shard,0.9900990099009901,6.9306930693069315,21.782178217821784,27.722772277227726,24.752475247524753,13.861386138613863,3.9603960396039604,0,0,1,0,0,0,0,0,0,0,8.570835999999999e-07
28,pleat,1.0,10.0,28.000000000000004,31.0,19.0,9.0,2.0,1,1,1,0,0,0,0,0,0,0,1.287074e-07
29,aloft,0.9900990099009901,3.9603960396039604,21.782178217821784,35.64356435643564,24.752475247524753,10.891089108910892,1.9801980198019802,0,1,1,1,0,0,0,0,0,0,2.367518e-06
30,skill,1.0,3.0,17.0,33.0,27.0,16.0,3.0,0,0,0,0,1,0,0,0,0,0,2.84208e-05
31,elder,1.0,3.0,13.0,24.0,30.0,24.0,5.0,2,0,0,0,0,0,0,0,1,0,1.476198e-05
32,frame,1.0101010101010102,10.1010101010101,20.2020202020202,24.242424242424242,24.242424242424242,17.17171717171717,3.0303030303030303,1,0,1,0,0,0,0,0,0,0,4.214306e-05
33,humor,1.0,5.0,22.0,34.0,25.0,11.0,2.0,0,0,0,1,0,0,0,0,0,0,1.198942e-05
34,pause,1.0,8.0,26.0,32.0,21.0,10.0,2.0,1,0,1,0,0,0,0,0,0,0,1.8683760000000003e-05
35,ulcer,1.0,4.0,18.0,30.0,28.000000000000004,16.0,3.0,1,0,0,0,0,0,0,0,1,0,2.718872e-06
36,ultra,1.0,7.000000000000001,23.0,34.0,24.0,10.0,1.0,0,1,1,0,0,0,0,0,0,0,5.0995940000000005e-06
37,robin,1.0,6.0,28.999999999999996,34.0,21.0,8.0,1.0,0,0,0,1,1,0,0,1,0,0,1.075388e-05
38,cynic,1.0,6.0,25.0,33.0,22.0,11.0,2.0,0,0,0,0,1,0,0,0,0,0,6.164864e-07
39,aroma,1.0,6.0,25.0,33.0,22.0,11.0,2.0,0,0,2,1,0,0,0,0,0,0,3.729052e-06
40,caulk,1.0,4.0,20.0,31.0,26.0,15.0,3.0,0,0,1,0,0,0,0,0,0,0,1.0872316e-07
41,shake,1.0,6.0,16.0,23.0,24.0,21.0,9.0,1,0,1,0,0,0,0,0,0,0,2.1732e-05
42,dodge,0.9900990099009901,2.9702970297029703,14.85148514851485,28.71287128712871,26.732673267326735,18.81188118811881,6.9306930693069315,1,0,0,1,0,0,0,0,0,0,3.939022e-06
43,swill,1.0,1.0,8.0,19.0,31.0,30.0,10.0,0,0,0,0,1,0,0,0,0,0,1.934302e-07
44,tacit,0.9900990099009901,3.9603960396039604,20.792079207920793,31.683168316831683,25.742574257425744,13.861386138613863,2.9702970297029703,0,2,1,0,1,0,0,0,0,0,3.298844e-06
45,other,1.0101010101010102,9.090909090909092,26.262626262626267,30.303030303030305,21.21212121212121,10.1010101010101,2.0202020202020203,1,1,0,1,0,1,1,0,1,0,0.001275334
46,thorn,1.0101010101010102,14.14141414141414,38.38383838383838,30.303030303030305,12.121212121212121,4.040404040404041,0.0,0,1,0,1,0,1,0,0,0,0,3.4461520000000005e-06
47,trove,0.9900990099009901,4.9504950495049505,15.841584158415841,23.762376237623762,24.752475247524753,21.782178217821784,7.920792079207921,1,1,0,1,0,0,0,0,0,0,7.44246e-07
48,bloke,1.0101010101010102,6.0606060606060606,21.21212121212121,32.323232323232325,25.252525252525253,12.121212121212121,2.0202020202020203,1,0,0,1,0,0,0,0,0,0,1.563362e-06
49,vivid,1.0,2.0,10.0,28.999999999999996,33.0,21.0,4.0,0,0,0,0,2,0,0,0,0,0,8.11974e-06
50,spill,1.0,5.0,26.0,34.0,22.0,10.0,2.0,0,0,0,0,1,0,0,0,0,0,5.054578e-06
51,chant,1.0,9.0,33.0,33.0,16.0,7.000000000000001,1.0,0,1,1,0,0,0,0,0,0,1,3.126336e-06
52,choke,1.0,8.0,30.0,36.0,18.0,6.0,1.0,1,0,0,1,0,0,0,0,0,0,2.8815640000000004e-06
53,rupee,1.0,2.0,17.0,35.0,30.0,13.0,2.0,2,0,0,0,0,0,0,0,0,0,5.229967999999999e-07
54,nasty,1.0101010101010102,7.07070707070707,26.262626262626267,31.313131313131315,21.21212121212121,11.11111111111111,2.0202020202020203,0,1,1,0,0,0,0,0,0,0,6.77708e-06
55,mourn,1.0,8.0,28.999999999999996,34.0,19.0,8.0,1.0,0,0,0,1,0,0,0,0,0,0,2.559808e-06
56,ahead,0.9900990099009901,4.9504950495049505,19.801980198019802,34.65346534653465,25.742574257425744,11.881188118811881,1.9801980198019802,1,0,2,0,0,0,1,0,0,0,5.285724e-05
57,brine,0.9900990099009901,8.91089108910891,24.752475247524753,28.71287128712871,21.782178217821784,11.881188118811881,2.9702970297029703,1,0,0,0,1,0,0,1,0,0,1.660144e-06
58,cloth,0.9900990099009901,7.920792079207921,32.67326732673268,33.663366336633665,16.831683168316832,6.9306930693069315,0.9900990099009901,0,1,0,1,0,1,0,0,0,0,1.7212639999999998e-05
59,hoard,0.9900990099009901,8.91089108910891,29.7029702970297,33.663366336633665,18.81188118811881,6.9306930693069315,0.9900990099009901,0,0,1,1,0,0,0,0,0,0,1.113796e-06
60,sweet,1.0,5.0,18.0,31.0,28.000000000000004,15.0,2.0,2,1,0,0,0,0,0,0,0,0,5.17679e-05
61,month,1.0,5.0,26.0,37.0,22.0,8.0,1.0,0,1,0,1,0,1,0,0,0,0,6.324196e-05
62,lapse,0.0,8.0,31.0,34.0,19.0,7.000000000000001,1.0,1,0,1,0,0,0,0,0,0,0,2.905818e-06
63,watch,1.0,6.0,14.000000000000002,18.0,17.0,24.0,20.0,0,1,1,0,0,0,0,0,0,0,7.34427e-05
64,today,1.0,7.000000000000001,28.999999999999996,35.0,20.0,7.000000000000001,1.0,0,1,1,1,0,0,0,0,0,0,0.0001486988
65,focus,1.0101010101010102,4.040404040404041,23.232323232323232,36.36363636363637,24.242424242424242,10.1010101010101,1.0101010101010102,0,0,0,1,0,0,0,0,0,0,0.000118429
66,smelt,0.0,5.0,19.0,33.0,28.000000000000004,13.0,2.0,1,1,0,0,0,0,0,0,0,0,1.55889e-06
67,tease,0.9803921568627451,15.686274509803921,31.372549019607842,29.411764705882355,15.686274509803921,5.88235294117647,0.9803921568627451,2,1,1,0,0,0,0,0,0,0,3.637382e-06
68,cater,0.9900990099009901,6.9306930693069315,18.81188118811881,21.782178217821784,18.81188118811881,17.82178217821782,14.85148514851485,1,1,1,0,0,0,0,0,1,0,1.7490899999999998e-06
69,movie,1.0101010101010102,5.05050505050505,18.181818181818183,30.303030303030305,26.262626262626267,16.161616161616163,3.0303030303030303,1,0,0,1,1,0,0,0,0,0,2.525518e-05
70,saute,1.0,8.0,31.0,34.0,19.0,6.0,1.0,1,1,1,0,0,0,0,0,0,0,1.0591468000000001e-07
71,allow,0.0,4.9504950495049505,20.792079207920793,31.683168316831683,25.742574257425744,13.861386138613863,2.9702970297029703,0,0,1,1,0,0,0,0,0,0,8.98091e-05
72,renew,0.0,4.040404040404041,20.2020202020202,33.33333333333333,27.27272727272727,13.131313131313133,2.0202020202020203,2,0,0,0,0,0,0,0,0,0,3.71405e-06
73,their,2.0202020202020203,14.14141414141414,36.36363636363637,30.303030303030305,13.131313131313133,4.040404040404041,0.0,1,1,0,0,1,1,1,0,0,0,0.002028576
74,slosh,0.0,2.0202020202020203,19.19191919191919,36.36363636363637,27.27272727272727,13.131313131313133,2.0202020202020203,0,0,0,1,0,0,0,0,0,0,1.7377520000000004e-07
75,purge,0.9900990099009901,3.9603960396039604,21.782178217821784,34.65346534653465,25.742574257425744,10.891089108910892,1.9801980198019802,1,0,0,0,0,0,0,0,0,0,2.169016e-06
76,chest,0.9900990099009901,13.861386138613863,34.65346534653465,30.693069306930692,13.861386138613863,4.9504950495049505,0.9900990099009901,1,1,0,0,0,0,1,0,0,0,6.941442e-05
77,depot,0.0,5.1020408163265305,29.591836734693878,36.734693877551024,20.408163265306122,7.142857142857142,1.0204081632653061,1,1,0,1,0,0,0,0,0,0,3.2323900000000003e-06
78,epoxy,0.0,2.0,13.0,31.0,33.0,18.0,3.0,1,0,0,1,0,0,0,0,0,0,1.902224e-06
79,nymph,0.7936507936507936,1.5873015873015872,14.285714285714285,34.92063492063492,20.634920634920633,20.634920634920633,7.142857142857142,0,0,0,0,0,0,0,0,0,0,1.388424e-06
80,found,0.9900990099009901,5.9405940594059405,16.831683168316832,21.782178217821784,19.801980198019802,20.792079207920793,13.861386138613863,0,0,0,1,0,0,0,0,0,0,0.0003934374
81,shall,0.0,3.0303030303030303,17.17171717171717,30.303030303030305,28.28282828282828,17.17171717171717,4.040404040404041,0,0,1,0,0,0,0,0,0,0,0.0002530204
82,stove,0.0,5.05050505050505,16.161616161616163,24.242424242424242,27.27272727272727,21.21212121212121,6.0606060606060606,1,1,0,1,0,0,0,0,0,0,7.315317999999999e-06
83,lowly,0.0,1.9801980198019802,8.91089108910891,25.742574257425744,31.683168316831683,23.762376237623762,7.920792079207921,0,0,0,1,0,0,0,0,0,0,2.2410780000000003e-06
84,snout,1.0,4.0,19.0,27.0,26.0,18.0,5.0,0,1,0,1,0,0,0,0,0,0,1.413942e-06
85,trope,1.0,16.0,33.0,28.000000000000004,15.0,6.0,1.0,1,1,0,1,0,0,0,0,0,0,2.159768e-06
86,fewer,0.0,2.0,10.0,24.0,32.0,26.0,6.0,2,0,0,0,0,0,0,0,1,0,1.974548e-05
87,shawl,0.0,3.0303030303030303,16.161616161616163,31.313131313131315,30.303030303030305,16.161616161616163,3.0303030303030303,0,0,1,0,0,0,0,0,0,0,2.60439e-06
88,natal,0.0,2.0,14.000000000000002,32.0,32.0,17.0,3.0,0,1,2,0,0,0,0,0,0,0,2.152084e-06
89,comma,0.0,1.9801980198019802,12.871287128712872,32.67326732673268,32.67326732673268,16.831683168316832,2.9702970297029703,0,0,1,1,0,0,0,0,0,0,1.7219239999999998e-06
90,foray,0.0,1.9801980198019802,13.861386138613863,30.693069306930692,30.693069306930692,18.81188118811881,3.9603960396039604,0,0,1,1,0,0,0,0,0,0,8.855525999999999e-07
91,scare,1.0,12.0,23.0,26.0,21.0,13.0,4.0,1,0,1,0,0,0,0,0,0,0,5.667022e-06
92,stair,1.9801980198019802,20.792079207920793,35.64356435643564,25.742574257425744,10.891089108910892,3.9603960396039604,0.9900990099009901,0,1,1,0,1,0,0,0,0,0,2.49955e-06
93,black,0.9900990099009901,9.900990099009901,30.693069306930692,33.663366336633665,17.82178217821782,5.9405940594059405,0.9900990099009901,0,0,1,0,0,0,0,0,0,0,0.0002237494
94,squad,0.0,3.0303030303030303,20.2020202020202,33.33333333333333,27.27272727272727,14.14141414141414,2.0202020202020203,0,0,1,0,0,0,0,0,0,0,6.1114920000000005e-06
95,royal,1.0101010101010102,5.05050505050505,24.242424242424242,36.36363636363637,23.232323232323232,9.090909090909092,1.0101010101010102,0,0,1,1,0,0,0,0,0,0,5.141106e-05
96,chunk,1.0,4.0,28.999999999999996,42.0,18.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,2.9450000000000006e-06
97,mince,0.0,6.0,24.0,35.0,24.0,10.0,1.0,1,0,0,0,1,0,0,1,0,0,8.868963999999999e-07
98,shame,1.0,11.0,22.0,25.0,21.0,15.0,5.0,1,0,1,0,0,0,0,0,0,0,2.409994e-05
99,cheek,0.0,3.0,19.0,40.0,28.000000000000004,9.0,1.0,2,0,0,0,0,0,1,0,0,0,2.56357e-05
100,ample,0.0,4.040404040404041,20.2020202020202,35.35353535353536,27.27272727272727,11.11111111111111,2.0202020202020203,1,0,1,0,0,0,0,0,0,0,6.631154000000001e-06
101,flair,1.0,8.0,30.0,36.0,18.0,6.0,1.0,0,0,1,0,1,0,0,0,0,0,1.428384e-06
102,foyer,0.0,2.0202020202020203,10.1010101010101,19.19191919191919,19.19191919191919,23.232323232323232,26.262626262626267,1,0,0,1,0,0,0,0,1,0,2.908898e-06
103,cargo,0.0,5.0,20.0,34.0,27.0,12.0,2.0,0,0,1,1,0,0,0,0,0,0,9.42218e-06
104,oxide,0.0,1.9801980198019802,10.891089108910892,29.7029702970297,32.67326732673268,20.792079207920793,3.9603960396039604,1,0,0,1,1,0,0,0,0,0,1.1343414e-05
105,plant,1.9801980198019802,18.81188118811881,38.613861386138616,27.722772277227726,9.900990099009901,2.9702970297029703,0.0,0,1,1,0,0,0,0,0,0,1,6.700368e-05
106,olive,1.0,6.0,25.0,34.0,23.0,10.0,1.0,1,0,0,1,1,0,0,0,0,0,1.582624e-05
107,inert,0.0,7.000000000000001,27.0,34.0,22.0,9.0,1.0,1,1,0,0,1,0,0,1,1,0,2.840616e-06
108,askew,0.0,3.0,13.0,28.999999999999996,32.0,19.0,4.0,1,0,1,0,0,0,0,0,0,0,8.697334e-07
109,heist,1.0,13.0,32.0,31.0,16.0,6.0,1.0,1,1,0,0,1,0,1,0,0,0,4.181572e-07
110,shown,0.0,6.0606060606060606,26.262626262626267,36.36363636363637,22.22222222222222,8.080808080808081,1.0101010101010102,0,0,0,1,0,0,0,0,0,0,0.0001330948
111,zesty,0.0,2.0,12.0,27.0,30.0,22.0,7.000000000000001,1,1,0,0,0,0,0,0,0,0,1.614088e-07
112,trash,2.0,19.0,34.0,27.0,13.0,4.0,1.0,0,1,1,0,0,0,0,0,0,0,6.82154e-06
113,larva,0.0,2.0202020202020203,10.1010101010101,25.252525252525253,35.35353535353536,23.232323232323232,4.040404040404041,0,0,2,0,0,0,0,0,0,0,9.263142e-07
114,forgo,0.0,1.0101010101010102,9.090909090909092,26.262626262626267,37.37373737373738,23.232323232323232,3.0303030303030303,0,0,0,2,0,0,0,0,0,0,9.424738e-07
115,story,1.0,10.0,23.0,28.999999999999996,24.0,11.0,2.0,0,1,0,1,0,0,0,0,0,0,0.0001636616
116,hairy,1.0,8.0,24.0,33.0,23.0,10.0,1.0,0,0,1,0,1,0,0,0,0,0,3.157054e-06
