,Word,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
0,slump,1,3,23,39,24,9,1,0,0,0,0,0,0,0,0,0,0,0.00066096,0
1,crank,1,5,23,31,24,14,2,0,0,0.5,0,0,0,0,0,0,1,0.000765203,0
2,gorge,1,3,13,27,30,22,4,0.5,0,0,0.5,0,0,0,0,0,0,0.001303891,0.5
3,query,1,4,16,30,30,17,2,0.5,0,0,0,0,0,0,0,1,0,0.005002843,0
4,drink,1,9,35,34,16,5,1,0,0,0,0,0.5,0,0,1,0,0,0.027824297,0
5,favor,1,4,15,26,29,21,4,0,0,0.5,0.5,0,0,0,0,0,0,0.013499182,0
6,abbey,1,2,13,29,31,20,3,0.5,0,0.5,0,0,0,0,0,0,0,0.003136436,0.5
7,tangy,1,4,21,30,24,15,5,0,0.5,0.5,0,0,0,0,0,0,1,0.000257176,0
8,panic,1,9,35,34,16,5,1,0,0,0.5,0,0.5,0,0,0,0,1,0.009170641,0
9,solar,1,9,32,32,18,7,1,0,0,0.5,0.5,0,0,0,0,0,0,0.010693092,0
10,shire,1,8,32,32,18,8,2,0.5,0,0,0,0.5,0,0,0,0,0,0.00040459,0
11,proxy,1,2,11,24,31,26,6,0,0,0,0.5,0,0,0,0,0,0,0.002444873,0
12,point,1,16,37,28,12,4,1,0,0.5,0,0.5,0.5,0,0,1,0,0,0.150936261,0
13,robot,1,8,29,34,20,8,1,0,0.5,0,1,0,0,0,0,0,0,0.005058794,0.5
14,prick,1,8,30,33,19,7,1,0,0,0,0,0.5,0,0,0,0,0,0.00131412,0
15,wince,1,3,17,33,29,15,3,0.5,0,0,0,0.5,0,0,1,0,0,0.000668722,0
16,crimp,1,5,28,38,20,7,1,0,0,0,0,0.5,0,0,0,0,0,0.000171175,0
17,knoll,1,1,11,29,33,21,4,0,0,0,0.5,0,0,0,0,0,0,0.000519848,0.5
18,sugar,1,6,25,34,23,9,1,0,0,0.5,0,0,0,0,0,0,0,0.018089704,0
19,whack,1,4,22,37,24,10,2,0,0,0.5,0,0,0,0,0,0,0,0.000490028,0
20,mount,1,9,29,33,19,7,1,0,0.5,0,0.5,0,0,0,0,0,0,0.009663536,0
21,perky,1,4,17,30,27,17,4,0.5,0,0,0,0,0,0,0,1,0,0.000264758,0
22,could,1,7,29,35,20,8,1,0,0,0,0.5,0,0,0,0,0,0,0.629447707,0
23,wrung,0,2,18,39,27,12,2,0,0,0,0,0,0,0,0,0,0,0.000731302,0
24,light,1,10,25,27,19,12,5,0,0.5,0,0,0.5,0,0,0,0,0,0.118050917,0
25,those,1,13,34,30,15,6,1,0.5,0.5,0,0.5,0,1,0,0,0,0,0.307001619,0
26,moist,3,13,32,29,16,7,1,0,0.5,0,0.5,0.5,0,0,0,0,0,0.002488832,0
27,shard,1,7,22,28,25,14,4,0,0,0.5,0,0,0,0,0,0,0,0.000407228,0
28,pleat,1,10,28,31,19,9,2,0.5,0.5,0.5,0,0,0,0,0,0,0,4.82E-05,0
29,aloft,1,4,22,36,25,11,2,0,0.5,0.5,0.5,0,0,0,0,0,0,0.001151819,0
30,skill,1,3,17,33,27,16,3,0,0,0,0,0.5,0,0,0,0,0,0.013995153,0.5
31,elder,1,3,13,24,30,24,5,1,0,0,0,0,0,0,0,1,0,0.007261844,0.5
32,frame,1,10,20,24,24,17,3,0.5,0,0.5,0,0,0,0,0,0,0,0.020759736,0
33,humor,1,5,22,34,25,11,2,0,0,0,0.5,0,0,0,0,0,0,0.005895071,0
34,pause,1,8,26,32,21,10,2,0.5,0,0.5,0,0,0,0,0,0,0,0.009195141,0
35,ulcer,1,4,18,30,28,16,3,0.5,0,0,0,0,0,0,0,1,0,0.001325023,0
36,ultra,1,7,23,34,24,10,1,0,0.5,0.5,0,0,0,0,0,0,0,0.002498634,0
37,robin,1,6,29,34,21,8,1,0,0,0,0.5,0.5,0,0,1,0,0,0.005285994,0
38,cynic,1,6,25,33,22,11,2,0,0,0,0,0.5,0,0,0,0,0,0.000288623,0.5
39,aroma,1,6,25,33,22,11,2,0,0,1,0.5,0,0,0,0,0,0,0.001823006,0.5
40,caulk,1,4,20,31,26,15,3,0,0,0.5,0,0,0,0,0,0,0,3.83E-05,0
41,shake,1,6,16,23,24,21,9,0.5,0,0.5,0,0,0,0,0,0,0,0.010697814,0
42,dodge,1,3,15,29,27,19,7,0.5,0,0,0.5,0,0,0,0,0,0,0.001926514,0.5
43,swill,1,1,8,19,31,30,10,0,0,0,0,0.5,0,0,0,0,0,8.01E-05,0.5
44,tacit,1,4,21,32,26,14,3,0,1,0.5,0,0.5,0,0,0,0,0,0.001610929,0.5
45,other,1,9,26,30,21,10,2,0.5,0.5,0,0.5,0,1,1,0,1,0,0.628678683,0
46,thorn,1,14,38,30,12,4,0,0,0.5,0,0.5,0,1,0,0,0,0,0.001683546,0
47,trove,1,5,16,24,25,22,8,0.5,0.5,0,0.5,0,0,0,0,0,0,0.000351604,0
48,bloke,1,6,21,32,25,12,2,0.5,0,0,0.5,0,0,0,0,0,0,0.000755398,0
49,vivid,1,2,10,29,33,21,4,0,0,0,0,1,0,0,0,0,0,0.003987458,1
50,spill,1,5,26,34,22,10,2,0,0,0,0,0.5,0,0,0,0,0,0.002476443,0.5
51,chant,1,9,33,33,16,7,1,0,0.5,0.5,0,0,0,0,0,0,1,0.001525889,0
52,choke,1,8,30,36,18,6,1,0.5,0,0,0.5,0,0,0,0,0,0,0.001405225,0
53,rupee,1,2,17,35,30,13,2,1,0,0,0,0,0,0,0,0,0,0.000242536,0.5
54,nasty,1,7,26,31,21,11,2,0,0.5,0.5,0,0,0,0,0,0,0,0.003325575,0
55,mourn,1,8,29,34,19,8,1,0,0,0,0.5,0,0,0,0,0,0,0.001246611,0
56,ahead,1,5,20,35,26,12,2,0.5,0,1,0,0,0,1,0,0,0,0.026041442,0.5
57,brine,1,9,25,29,22,12,3,0.5,0,0,0,0.5,0,0,1,0,0,0.000803108,0
58,cloth,1,8,33,34,17,7,1,0,0.5,0,0.5,0,1,0,0,0,0,0.008469932,0
59,hoard,1,9,30,34,19,7,1,0,0,0.5,0.5,0,0,0,0,0,0,0.000533778,0
60,sweet,1,5,18,31,28,15,2,1,0.5,0,0,0,0,0,0,0,0,0.025504437,0.5
61,month,1,5,26,37,22,8,1,0,0.5,0,0.5,0,1,0,0,0,0,0.031160737,0
62,lapse,0,8,31,34,19,7,1,0.5,0,0.5,0,0,0,0,0,0,0,0.001417181,0
63,watch,1,6,14,18,17,24,20,0,0.5,0.5,0,0,0,0,0,0,0,0.036189337,0
64,today,1,7,29,35,20,7,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0.073287897,0
65,focus,1,4,23,36,24,10,1,0,0,0,0.5,0,0,0,0,0,0,0.058365971,0
66,smelt,0,5,19,33,28,13,2,0.5,0.5,0,0,0,0,0,0,0,0,0.000753194,0
67,tease,1,16,32,30,16,6,1,1,0.5,0.5,0,0,0,0,0,0,0,0.001777816,0.5
68,cater,1,7,19,22,19,18,15,0.5,0.5,0.5,0,0,0,0,0,1,0,0.000846956,0
69,movie,1,5,18,30,26,16,3,0.5,0,0,0.5,0.5,0,0,0,0,0,0.012434616,0
70,saute,1,8,31,34,19,6,1,0.5,0.5,0.5,0,0,0,0,0,0,0,3.69E-05,0
71,allow,0,5,21,32,26,14,3,0,0,0.5,0.5,0,0,0,0,0,0,0.044257385,0.5
72,renew,0,4,20,33,27,13,2,1,0,0,0,0,0,0,0,0,0,0.001815611,0.5
73,their,2,14,36,30,13,4,0,0.5,0.5,0,0,0.5,1,1,0,0,0,1,0
74,slosh,0,2,19,36,27,13,2,0,0,0,0.5,0,0,0,0,0,0,7.04E-05,0.5
75,purge,1,4,22,35,26,11,2,0.5,0,0,0,0,0,0,0,0,0,0.001053964,0
76,chest,1,14,35,31,14,5,1,0.5,0.5,0,0,0,0,1,0,0,0,0.034203539,0
77,depot,0,5,29,36,20,7,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0.001578169,0
78,epoxy,0,2,13,31,33,18,3,0.5,0,0,0.5,0,0,0,0,0,0,0.000922445,0
79,nymph,1,2,18,44,26,26,9,0,0,0,0,0,0,0,0,0,0,0.00066916,0
80,found,1,6,17,22,20,21,14,0,0,0,0.5,0,0,0,0,0,0,0.193935258,0
81,shall,0,3,17,30,28,17,4,0,0,0.5,0,0,0,0,0,0,0,0.124714708,0.5
82,stove,0,5,16,24,27,21,6,0.5,0.5,0,0.5,0,0,0,0,0,0,0.003590907,0
83,lowly,0,2,9,26,32,24,8,0,0,0,0.5,0,0,0,0,0,0,0.001089488,0.5
84,snout,1,4,19,27,26,18,5,0,0.5,0,0.5,0,0,0,0,0,0,0.00068174,0
85,trope,1,16,33,28,15,6,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0.001049405,0
86,fewer,0,2,10,24,32,26,6,1,0,0,0,0,0,0,0,1,0,0.009718531,0.5
87,shawl,0,3,16,31,30,16,3,0,0,0.5,0,0,0,0,0,0,0,0.001268588,0
88,natal,0,2,14,32,32,17,3,0,0.5,1,0,0,0,0,0,0,0,0.001045617,0.5
89,comma,0,2,13,33,33,17,3,0,0,0.5,0.5,0,0,0,0,0,0,0.000833564,0.5
90,foray,0,2,14,31,31,19,4,0,0,0.5,0.5,0,0,0,0,0,0,0.000421263,0
91,scare,1,12,23,26,21,13,4,0.5,0,0.5,0,0,0,0,0,0,0,0.002778356,0
92,stair,2,21,36,26,11,4,1,0,0.5,0.5,0,0.5,0,0,0,0,0,0.001216906,0
93,black,1,10,31,34,18,6,1,0,0,0.5,0,0,0,0,0,0,0,0.110285154,0
94,squad,0,3,20,33,27,14,2,0,0,0.5,0,0,0,0,0,0,0,0.002997464,0
95,royal,1,5,24,36,23,9,1,0,0,0.5,0.5,0,0,0,0,0,0,0.025328527,0
96,chunk,1,4,29,42,18,5,1,0,0,0,0,0,0,0,0,0,0,0.001436496,0
97,mince,0,6,24,35,24,10,1,0.5,0,0,0,0.5,0,0,1,0,0,0.000421925,0
98,shame,1,11,22,25,21,15,5,0.5,0,0.5,0,0,0,0,0,0,0,0.011865124,0
99,cheek,0,3,19,40,28,9,1,1,0,0,0,0,0,1,0,0,0,0.012622199,0.5
100,ample,0,4,20,35,27,11,2,0.5,0,0.5,0,0,0,0,0,0,0,0.003253638,0
101,flair,1,8,30,36,18,6,1,0,0,0.5,0,0.5,0,0,0,0,0,0.000688859,0
102,foyer,0,2,10,19,19,23,26,0.5,0,0,0.5,0,0,0,0,1,0,0.001418699,0
103,cargo,0,5,20,34,27,12,2,0,0,0.5,0.5,0,0,0,0,0,0,0.004629514,0
104,oxide,0,2,11,30,33,21,4,0.5,0,0,0.5,0.5,0,0,0,0,0,0.005576614,0
105,plant,2,19,39,28,10,3,0,0,0.5,0.5,0,0,0,0,0,0,1,0.03301513,0
106,olive,1,6,25,34,23,10,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0.007786486,0
107,inert,0,7,27,34,22,9,1,0.5,0.5,0,0,0.5,0,0,1,1,0,0.001385039,0
108,askew,0,3,13,29,32,19,4,0.5,0,0.5,0,0,0,0,0,0,0,0.000413464,0
109,heist,1,13,32,31,16,6,1,0.5,0.5,0,0,0.5,0,1,0,0,0,0.000190853,0
110,shown,0,6,26,36,22,8,1,0,0,0,0.5,0,0,0,0,0,0,0.065595685,0
111,zesty,0,2,12,27,30,22,7,0.5,0.5,0,0,0,0,0,0,0,0,6.43E-05,0
112,trash,2,19,34,27,13,4,1,0,0.5,0.5,0,0,0,0,0,0,0,0.003347492,0
113,larva,0,2,10,25,35,23,4,0,0,1,0,0,0,0,0,0,0,0.000441357,0.5
114,forgo,0,1,9,26,37,23,3,0,0,0,1,0,0,0,0,0,0,0.000449323,0.5
115,story,1,10,23,29,24,11,2,0,0.5,0,0.5,0,0,0,0,0,0,0.080664022,0
116,hairy,1,8,24,33,23,10,1,0,0,0.5,0,0.5,0,0,0,0,0,0.001541031,0
117,train,6,26,32,22,10,3,0,0,0.5,0.5,0,0.5,0,0,1,0,0,0.024258411,0
118,homer,0,3,16,26,24,19,12,0.5,0,0,0.5,0,0,0,0,1,0,0.002804088,0
119,badge,0,4,20,35,26,12,2,0.5,0,0.5,0,0,0,0,0,0,0,0.001920052,0
120,midst,0,3,25,39,24,9,1,0,0.5,0,0,0.5,0,0,0,0,0,0.008225155,0
121,canny,0,2,10,30,34,20,4,0,0,0.5,0,0,0,0,0,0,1,0.000306258,0.5
122,shine,1,14,32,30,17,6,1,0.5,0,0,0,0.5,0,0,1,0,0,0.003787746,0
123,gecko,0,2,16,38,29,12,2,0.5,0,0,0.5,0,0,0,0,0,0,0.000149128,0
124,farce,0,9,26,32,21,9,1,0.5,0,0.5,0,0,0,0,0,0,0,0.00073562,0
125,slung,0,2,16,37,31,13,2,0,0,0,0,0,0,0,0,0,0,0.001407192,0
126,tipsy,0,6,33,38,17,5,1,0,0.5,0,0,0.5,0,0,0,0,0,0.000373261,0
127,metal,1,10,31,34,18,7,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0.025632578,0
128,yield,0,4,16,29,29,18,4,0.5,0,0,0,0.5,0,0,0,0,0,0.013893819,0
129,delve,0,2,14,32,33,16,2,1,0,0,0,0,0,0,0,0,0,0.000694576,0.5
130,being,0,4,22,37,26,10,1,0.5,0,0,0,0.5,0,0,1,0,0,0.297821048,0
131,scour,0,8,34,35,17,5,1,0,0,0,0.5,0,0,0,0,0,0,0.000425535,0
132,glass,0,4,19,33,27,14,3,0,0,0.5,0,0,0,0,0,0,0,0.038831851,0.5
133,gamer,1,4,17,28,26,18,6,0.5,0,0.5,0,0,0,0,0,1,0,0.000201841,0
134,scrap,1,9,28,34,20,8,1,0,0,0.5,0,0,0,0,0,0,0,0.002161239,0
135,money,1,7,26,36,21,8,1,0.5,0,0,0.5,0,0,0,0,0,0,0.089397276,0
136,hinge,0,5,25,37,22,9,2,0.5,0,0,0,0.5,0,0,1,0,0,0.001002854,0
137,album,0,5,26,35,24,9,1,0,0,0.5,0,0,0,0,0,0,0,0.004003503,0
138,vouch,0,2,9,25,33,24,6,0,0,0,0.5,0,0,0,0,0,0,0.000323132,0
139,asset,0,7,28,34,21,8,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0.010593503,0.5
140,tiara,0,8,36,33,17,6,1,0,0.5,1,0,0.5,0,0,0,0,0,0.000290053,0.5
141,crept,0,4,27,38,22,7,1,0.5,0.5,0,0,0,0,0,0,0,0,0.003843179,0
142,bayou,0,6,17,33,29,13,2,0,0,0.5,0.5,0,0,0,0,0,0,0.000418994,0
143,atoll,0,6,28,36,21,8,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0.00023872,0.5
144,manor,0,6,27,34,21,10,2,0,0,0.5,0.5,0,0,0,0,0,1,0.002397837,0
145,creak,0,5,21,32,25,14,3,0.5,0,0.5,0,0,0,0,0,0,0,0.000670832,0
146,showy,0,2,16,37,30,13,2,0,0,0,0.5,0,0,0,0,0,0,0.000355848,0
147,peach,1,13,38,32,13,3,0,0.5,0,0.5,0,0,0,0,0,0,0,0.001663482,0
148,froth,0,5,22,35,25,11,1,0,0.5,0,0.5,0,1,0,0,0,0,0.000404204,0
149,depth,0,6,28,39,20,6,1,0.5,0.5,0,0,0,1,0,0,0,0,0.017489717,0
150,gloom,0,2,14,35,35,13,1,0,0,0,1,0,0,0,0,0,0,0.002654294,0.5
151,flood,0,3,20,40,28,8,1,0,0,0,1,0,0,0,0,0,0,0.007666597,0.5
152,trait,0,6,22,35,24,11,2,0,1,0.5,0,0.5,0,0,0,0,0,0.003854025,0.5
153,girth,0,6,23,33,23,12,3,0,0.5,0,0,0.5,1,0,0,0,0,0.000469713,0
154,piety,0,4,25,41,22,7,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.002319336,0
155,goose,0,2,12,28,32,21,5,0.5,0,0,1,0,0,0,0,0,0,0.002369074,0.5
156,float,1,12,30,32,18,6,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0.003249862,0
157,donor,0,3,27,38,23,7,1,0,0,0,1,0,0,0,0,0,0,0.004879463,0.5
158,atone,2,16,34,29,14,4,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.000400386,0
159,primo,0,3,22,38,25,10,2,0,0,0,0.5,0.5,0,0,0,0,0,0.000474584,0
160,apron,0,7,30,38,19,5,1,0,0,0.5,0.5,0,0,0,0,0,0,0.00198797,0
161,blown,0,6,23,35,26,10,1,0,0,0,0.5,0,0,0,0,0,0,0.004448463,0
162,cacao,0,1,9,27,36,23,4,0,0,1,0.5,0,0,0,0,0,0,0.000467311,1
163,loser,1,10,28,32,19,8,2,0.5,0,0,0.5,0,0,0,0,1,0,0.001110984,0
164,input,0,5,30,38,21,6,1,0,0.5,0,0,0.5,0,0,1,0,0,0.020603821,0
165,gloat,0,8,21,31,26,12,2,0,0.5,0.5,0.5,0,0,0,0,0,0,0.000176198,0
166,awful,0,5,21,33,27,12,2,0,0,0.5,0,0,0,0,0,0,0,0.007760438,0
167,brink,0,4,22,41,24,7,1,0,0,0,0,0.5,0,0,1,0,0,0.001693002,0
168,smite,0,6,23,35,24,11,2,0.5,0.5,0,0,0.5,0,0,0,0,0,0.000484944,0
169,beady,0,3,19,39,29,10,1,0.5,0,0.5,0,0,0,0,0,0,0,0.000260729,0
170,rusty,0,9,37,34,13,5,1,0,0.5,0,0,0,0,0,0,0,0,0.002148803,0
171,retro,0,6,24,35,24,9,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0.00052012,0.5
172,droll,0,2,16,31,31,17,3,0,0,0,0.5,0,0,0,0,0,0,0.000278863,0.5
173,gawky,0,1,5,22,33,28,10,0,0,0.5,0,0,0,0,0,0,0,6.10E-05,0
174,hutch,0,1,12,28,28,21,9,0,0.5,0,0,0,0,0,0,0,0,0.000275257,0.5
175,pinto,0,5,25,41,22,6,1,0,0.5,0,0.5,0.5,0,0,1,0,0,0.000763305,0
176,egret,0,3,14,33,33,15,2,1,0.5,0,0,0,0,0,0,0,0,7.49E-05,0.5
177,lilac,0,2,17,38,29,12,1,0,0,0.5,0,0.5,0,0,0,0,0,0.000578572,0.5
178,sever,0,2,13,27,29,21,7,1,0,0,0,0,0,0,0,1,0,0.00058824,0.5
179,field,1,6,25,36,23,9,1,0.5,0,0,0,0.5,0,0,0,0,0,0.07784121,0
